,Card Name
0,"Brago, King Eternal"
1,"Narset, Parter of Veils"
2,Tezzeret the Seeker
3,Archon of Emeria
4,Aven Mindcensor
5,Drannith Magistrate
6,Esper Sentinel
7,Ethersworn Canonist
8,Hullbreacher
9,Recruiter of the Guard
10,Spellseeker
11,"Thalia, Guardian of Thraben"
12,Tribute Mage
13,Trinket Mage
14,"Venser, Shaper Savant"
15,Fabricate
16,Timetwister
17,Windfall
18,Brainstorm
19,Chain of Vapor
20,Cyclonic Rift
21,Dispel
22,Enlightened Tutor
23,Fierce Guardianship
24,Flusterstorm
25,Force of Will
26,Mental Misstep
27,Muddle the Mixture
28,Mystical Tutor
29,Silence
30,Swan Song
31,Swords to Plowshares
32,Whir of Invention
33,Arcane Signet
34,Azorius Signet
35,Chalice of the Void
36,Chrome Mox
37,Codex Shredder
38,Cursed Totem
39,Damping Sphere
40,Fellwar Stone
41,Grafdigger's Cage
42,Grim Monolith
43,Jeweled Lotus
44,Lithoform Engine
45,Lotus Petal
46,Mana Crypt
47,Mana Vault
48,Mox Diamond
49,Mox Opal
50,Prismatic Lens
51,Prophetic Prism
52,Sensei's Divining Top
53,Sol Ring
54,Sphere of Resistance
55,Strionic Resonator
56,Talisman of Progress
57,Tangle Wire
58,Thorn of Amethyst
59,Trinisphere
60,Weathered Runestone
61,Copy Artifact
62,Deafening Silence
63,Detention Sphere
64,Grasp of Fate
65,Mystic Remora
66,Oath of Jace
67,Omen of the Sea
68,Reality Acid
69,Rhystic Study
70,Stasis
71,Trial of Knowledge
72,Academy Ruins
73,Adarkar Wastes
74,Ancient Tomb
75,Arid Mesa
76,Cephalid Coliseum
77,City of Brass
78,Command Tower
79,Emergence Zone
80,Exotic Orchard
81,Flooded Strand
82,Forbidden Orchard
83,Gemstone Caverns
84,Hallowed Fountain
85,Inventors' Fair
86,Island
87,Mana Confluence
88,Misty Rainforest
89,Mystic Sanctuary
90,Plains
91,Polluted Delta
92,Prismatic Vista
93,Scalding Tarn
94,Sea of Clouds
95,Tundra
96,"Esika, God of the Tree"
97,Arbor Elf
98,Birds of Paradise
99,Deathrite Shaman
100,Dockside Extortionist
101,"Emry, Lurker of the Loch"
102,Fatestitcher
103,"Lavinia, Azorius Renegade"
104,Noble Hierarch
105,"Ragavan, Nimble Pilferer"
106,Thassa's Oracle
107,Abundant Harvest
108,Demonic Tutor
109,Faithless Looting
110,Gamble
111,Gitaxian Probe
112,Imperial Seal
113,Past in Flames
114,Ponder
115,Preordain
116,Serum Visions
117,Sevinne's Reclamation
118,Sleight of Hand
119,Treasure Cruise
120,Wheel of Fortune
121,Ad Nauseam
122,Banishing Knack
123,Brain Freeze
124,Brainstorm
125,Chain of Vapor
126,Demonic Consultation
127,Enlightened Tutor
128,Entomb
129,Fierce Guardianship
130,Intuition
131,Izzet Charm
132,Mana Drain
133,Manamorphose
134,Mental Misstep
135,Mental Note
136,Mystical Tutor
137,Noxious Revival
138,Opt
139,Pact of Negation
140,Pyroblast
141,Red Elemental Blast
142,Retraction Helix
143,Silence
144,Tainted Pact
145,Thought Scour
146,Vampiric Tutor
147,Veil of Summer
148,Chrome Mox
149,Jeweled Lotus
150,Lion's Eye Diamond
151,Lotus Petal
152,Mana Crypt
153,Mana Vault
154,Mishra's Bauble
155,Mox Amber
156,Mox Diamond
157,Mox Opal
158,Sensei's Divining Top
159,Sol Ring
160,Tormod's Crypt
161,Urza's Bauble
162,Wishclaw Talisman
163,Carpet of Flowers
164,Jeskai Ascendancy
165,Mystic Remora
166,Rhystic Study
167,Underworld Breach
168,Arid Mesa
169,Badlands
170,Bayou
171,Bloodstained Mire
172,Breeding Pool
173,City of Brass
174,Command Tower
175,Exotic Orchard
176,Flooded Strand
177,Forbidden Orchard
178,Gemstone Mine
179,Mana Confluence
180,Marsh Flats
181,Misty Rainforest
182,Plateau
183,"Bruse Tarl, Boorish Herder"
184,"Thrasios, Triton Hero"
185,Auriok Salvagers
186,Birds of Paradise
187,Dockside Extortionist
188,Emiel the Blessed
189,Gilded Drake
190,Grand Abolisher
191,Hullbreacher
192,Noble Hierarch
193,Seedborn Muse
194,Spellseeker
195,Tinder Wall
196,Wandering Archaic
197,Eldritch Evolution
198,Finale of Devastation
199,Gamble
200,Gitaxian Probe
201,Neoform
202,Ponder
203,Rite of Flame
204,Sevinne's Reclamation
205,Wheel of Fortune
206,Windfall
207,Brain Freeze
208,Brainstorm
209,Chain of Vapor
210,Cyclonic Rift
211,Deflecting Swat
212,Dispel
213,Eladamri's Call
214,Enlightened Tutor
215,Ephemerate
216,Fierce Guardianship
217,Final Fortune
218,Flusterstorm
219,Force of Negation
220,Force of Will
221,Intuition
222,Mental Misstep
223,Mystical Tutor
224,Noxious Revival
225,Pact of Negation
226,Pyroblast
227,Red Elemental Blast
228,Resculpt
229,Silence
230,Snap
231,Swan Song
232,Veil of Summer
233,Winds of Rebuke
234,Worldly Tutor
235,Arcane Signet
236,Chrome Mox
237,Fellwar Stone
238,Grim Monolith
239,Lion's Eye Diamond
240,Lotus Petal
241,Mana Crypt
242,Mana Vault
243,Mox Amber
244,Mox Diamond
245,Sol Ring
246,Talisman of Creativity
247,Talisman of Curiosity
248,Carpet of Flowers
249,Mystic Remora
250,Rhystic Study
251,Sylvan Library
252,Training Grounds
253,Underworld Breach
254,Ancient Tomb
255,Arid Mesa
256,Bloodstained Mire
257,Breeding Pool
258,City of Brass
259,Command Tower
260,Exotic Orchard
261,Fiery Islet
262,Flooded Strand
263,Forbidden Orchard
264,Gemstone Caverns
265,Hallowed Fountain
266,Mana Confluence
267,Marsh Flats
268,Misty Rainforest
269,Plateau
270,Polluted Delta
271,Savannah
272,Scalding Tarn
273,Steam Vents
274,Taiga
275,Tarnished Citadel
276,Tropical Island
277,Tundra
278,Verdant Catacombs
279,Volcanic Island
280,Waterlogged Grove
281,Windswept Heath
282,"Bruse Tarl, Boorish Herder"
283,"Kamahl, Heart of Krosa"
284,Allosaurus Shepherd
285,Arbor Elf
286,Archon of Emeria
287,Archon of Valor's Reach
288,Avacyn's Pilgrim
289,Aven Mindcensor
290,Birds of Paradise
291,Boreal Druid
292,Captain Sisay
293,Collector Ouphe
294,Dockside Extortionist
295,Drannith Magistrate
296,Eidolon of Rhetoric
297,"Elesh Norn, Grand Cenobite"
298,Elvish Mystic
299,Endurance
300,Ethersworn Canonist
301,Fauna Shaman
302,Flamescroll Celebrant
303,Fyndhorn Elves
304,Garruk's Harbinger
